# 市区町村名,府県予報区コード
# 気象庁 https://www.jma.go.jp/bosai/common/const/area.json の class20s から生成
# 再生成の手順は DESIGN.md の該当節を参照
南砺市,160000
南種子町,460100
南箕輪村,200000
南越前町,180000
南足柄市,140000
南部町,020000
南部町,190000
南部町,310000
南関町,430000
南阿蘇村,430000
南陽市,060000
南風原町,471000
南魚沼市,150000
占冠村,012000
印南町,300000
印西市,120000
厚岸町,014100
厚木市,140000
厚沢部町,017000
厚真町,015000
原村,200000
双葉町,070000
取手市,080000
古平町,016000
古座川町,300000
古殿町,070000
古河市,080000
古賀市,400000
只見町,070000
可児市,210000
台東区,130000
各務原市,210000
合志市,430000
吉備中央町,330000
吉富町,400000
吉岡町,100000
吉川市,110000
吉田町,220000
吉見町,110000
吉賀町,320000
吉野ヶ里町,410000
吉野川市,360000
吉野町,290000
名取市,040000
名古屋市,230000
名寄市,012000
名張市,240000
名護市,471000
向日市,260000
君津市,120000
吹田市,270000
呉市,340000
周南市,350000
周防大島町,350000
和光市,110000
和寒町,012000
和木町,350000
和束町,260000
和歌山市,300000
和気町,330000
和水町,430000
和泉市,270000
和泊町,460040
品川区,130000
唐津市,410000
善通寺市,370000
喜多方市,070000
喜界町,460040
喜茂別町,016000
喬木村,200000
嘉島町,430000
嘉手納町,471000
嘉麻市,400000
四万十市,390000
四万十町,390000
四国中央市,380000
四日市市,240000
四條畷市,270000
四街道市,120000
国分寺市,130000
国富町,450000
国東市,440000
国立市,130000
国見町,070000
国頭村,471000
土佐市,390000
土佐清水市,390000
土佐町,390000
土岐市,210000
土庄町,370000
土浦市,080000
坂井市,180000
坂出市,370000
坂城町,200000
坂戸市,110000
坂東市,080000
坂町,340000
坂祝町,210000
垂井町,210000
垂水市,460100
城里町,080000
城陽市,260000
基山町,410000
堺市,270000
塙町,070000
塩尻市塩尻,200000
塩尻市楢川,200000
塩竈市,040000
塩谷町,090000
境港市,310000
境町,080000
増毛町,012000
墨田区,130000
士別市,012000
士幌町,014030
壬生町,090000
壮瞥町,015000
壱岐市,420000
売木村,200000
夕張市,016000
外ヶ浜町,020000
多久市,410000
多古町,120000
多可町,280000
多度津町,370000
多摩市,130000
多気町,240000
多治見市,210000
多良木町,430000
多良間村,473000
多賀城市,040000
多賀町,250000
大井町,140000
大仙市,050000
大任町,400000
大刀洗町,400000
大分市,440000
大口町,230000
大台町,240000
大和市,140000
大和村,460040
大和町東部,040000
大和町西部,040000
大和郡山市,290000
大和高田市,290000
大垣市,210000
大多喜町,120000
大子町,080000
大宜味村,471000
大山崎町,260000
大山町,310000
大島町,130000
大崎上島町,340000
大崎市東部,040000
大崎市西部,040000
大崎町,460100
大川市,400000
大川村,390000
大府市,230000
大月市,190000
大月町,390000
大木町,400000
大村市,420000
大東市,270000
大桑村,200000
大槌町,030000
大樹町,014030
大江町,060000
大河原町,040000
大治町,230000
大泉町,100000
大洗町,080000
大津市北部,250000
大津市南部,250000
大津町,430000
大洲市,380000
大淀町,290000
大潟村,050000
大熊町,070000
大牟田市,400000
大玉村,070000
大田区,130000
大田原市,090000
大田市,320000
大町市,200000
大町町,410000
大石田町,060000
大磯町,140000
大空町,013000
大竹市,340000
大紀町,240000
大網白里市,120000
大船渡市,030000
大蔵村,060000
大衡村,040000
大豊町,390000
大郷町,040000
大野城市,400000
大野市,180000
大野町,210000
大間町,020000
大阪市,270000
大阪狭山市,270000
大館市,050000
大鰐町,020000
大鹿村,200000
天城町,460040
天塩町,012000
天川村,290000
天栄村,070000
天栄村湯本,070000
天理市,290000
天童市,060000
天草市,430000
天龍村,200000
太地町,300000
太子町,270000
太子町,280000
太宰府市,400000
太田市,100000
太良町,410000
奄美市,460040
奈井江町,016000
奈半利町,390000
奈義町,330000
奈良市東部,290000
奈良市西部,290000
奥出雲町,320000
奥多摩町,130000
奥尻町,017000
奥州市,030000
女川町,040000
妙高市,150000
妹背牛町,016000
姫島村,440000
姫路市,280000
姶良市,460100
嬉野市,410000
嬬恋村,100000
宇佐市,440000
宇和島市,380000
宇土市,430000
宇城市,430000
宇多津町,370000
宇検村,460040
宇治市,260000
宇治田原町,260000
宇美町,400000
宇部市,350000
宇都宮市,090000
宇陀市,290000
守口市,270000
守山市,250000
守谷市,080000
安中市,100000
安八町,210000
安城市,230000
安堵町,290000
安平町,015000
安曇野市,200000
安来市,320000
安田町,390000
安芸太田町,340000
安芸市,390000
安芸高田市,340000
宍粟市,280000
宗像市,400000
宜野座村,471000
宜野湾市,471000
宝塚市,280000
宝達志水町,170000
室戸市,390000
室蘭市,015000
宮代町,110000
宮古島市,473000
宮古市,030000
宮崎市,450000
宮津市,260000
宮田村,200000
宮若市,400000
宿毛市,390000
寄居町,110000
富加町,210000
富士吉田市,190000
富士宮市,220000
富士川町,190000
富士市,220000
富士河口湖町,190000
富士見市,110000
富士見町,200000
富山市山間部東,160000
富山市山間部西,160000
富山市平地,160000
富岡市,100000
富岡町,070000
富津市,120000
富田林市,270000
富良野市,012000
富谷市,040000
富里市,120000
寒川町,140000
寒河江市,060000
寝屋川市,270000
対馬市上対馬,420000
対馬市下対馬,420000
寿都町,016000
射水市,160000
小値賀町,420000
小千谷市,150000
小国町,060000
小国町,430000
小坂町,050000
小城市,410000
小山市,090000
小山町,220000
小川村,200000
小川町,110000
小布施町,200000
小平市,130000
小平町,012000
小松島市,360000
小松市,170000
小林市,450000
小樽市,016000
小浜市,180000
小海町,200000
小清水町,013000
小牧市,230000
小田原市,140000
小矢部市,160000
小竹町,400000
小笠原村,130000
小美玉市,080000
小菅村,190000
小諸市,200000
小谷村,200000
小豆島町,370000
小郡市,400000
小野市,280000
小野町,070000
小金井市,130000
小鹿野町,110000
尼崎市,280000
尾張旭市,230000
尾花沢市,060000
尾道市,340000
尾鷲市,240000
屋久島町,460100
山ノ内町,200000
山中湖村,190000
山元町,040000
山北町,140000
山口市,350000
山形市,060000
山形村,200000
山梨市,190000
山武市,120000
山江村,430000
山添村,290000
山田町,030000
山県市,210000
山辺町,060000
山都町,430000
山陽小野田市,350000
山鹿市,430000
岐南町,210000
岐阜市,210000
岡垣町,400000
岡山市,330000
岡崎市,230000
岡谷市,200000
岩倉市,230000
岩内町,016000
岩出市,300000
岩国市,350000
岩手町,030000
岩沼市,040000
岩泉町,030000
岩美町,310000
岩見沢市,016000
岬町,270000
岸和田市,270000
島原市,420000
島本町,270000
島牧村,016000
島田市,220000
嵐山町,110000
川上村,200000
川上村,290000
川俣町,070000
川内村,070000
川北町,170000
川南町,450000
川口市,110000
川場村,100000
川島町,110000
川崎市,140000
川崎町,040000
川崎町,400000
川本町,320000
川根本町,220000
川棚町,420000
川西市,280000
川西町,060000
川西町,290000
川越市,110000
川越町,240000
川辺町,210000
市原市,120000
市川三郷町,190000
市川市,120000
市川町,280000
市貝町,090000
帯広市,014030
常滑市,230000
常総市,080000
常陸大宮市,080000
常陸太田市,080000
幌加内町,012000
幌延町,011000
幕別町,014030
平内町,020000
平取町,015000
平塚市,140000
平川市,020000
平戸市,420000
平泉町,030000
平生町,350000
平田村,070000
平群町,290000
平谷村,200000
幸手市,110000
幸田町,230000
広尾町,014030
広島市中区,340000
広島市佐伯区,340000
広島市南区,340000
広島市安佐北区,340000
広島市安佐南区,340000
広島市安芸区,340000
広島市東区,340000
広島市西区,340000
広川町,300000
広川町,400000
広野町,070000
広陵町,290000
庄内町,060000
庄原市,340000
府中市,130000
府中市,340000
府中町,340000
度会町,240000
座間味村,471000
座間市,140000
延岡市,450000
廿日市市,340000
弘前市,020000
弟子屈町,014100
弥富市,230000
弥彦村,150000
当別町,016000
当麻町,012000
彦根市,250000
御代田町,200000
御前崎市,220000
御坊市,300000
御宿町,120000
御嵩町,210000
御所市,290000
御杖村,290000
御殿場市,220000
御浜町,240000
御船町,430000
御蔵島村,130000
徳之島町,460040
徳島市,360000
忍野村,190000
志免町,400000
志布志市,460100
志摩市,240000
志木市,110000
志賀町,170000
忠岡町,270000
恩納村,471000
恵庭市,016000
恵那市,210000
愛別町,012000
愛南町,380000
愛川町,140000
愛荘町,250000
愛西市,230000
成田市,120000
我孫子市,120000
戸沢村,060000
戸田市,110000
所沢市,110000
扶桑町,230000
指宿市,460100
掛川市,220000
揖斐川町,210000
摂津市,270000
播磨町,280000
敦賀市,180000
文京区,130000
斑鳩町,290000
斜里町,013000
新ひだか町,015000
新上五島町,420000
新冠町,015000
新十津川町,016000
新地町,070000
新城市,230000
新宮市,300000
新宮町,400000
新宿区,130000
新富町,450000
新居浜市,380000
新島村,130000
新庄市,060000
新庄村,330000
新座市,110000
新得町,014030
新温泉町,280000
新潟市,150000
新発田市,150000
新篠津村,016000
新見市,330000
新郷村,020000
日の出町,130000
日之影町,450000
日光市今市,090000
日光市日光,090000
日光市栗山,090000
日光市藤原,090000
日光市足尾,090000
日出町,440000
日南市,450000
日南町,310000
日吉津村,310000
日向市,450000
日田市,440000
日立市,080000
日置市,460100
日進市,230000
日野市,130000
日野町,250000
日野町,310000
日高川町中津,300000
日高川町川辺,300000
日高川町美山,300000
日高市,110000
日高村,390000
日高町,300000
日高町日高,015000
日高町門別,015000
早島町,330000
早川町,190000
旭川市,012000
旭市,120000
明和町,100000
明和町,240000
明日香村,290000
明石市,280000
春日井市,230000
春日市,400000
春日部市,110000
昭和村,070000
昭和村,100000
昭和町,190000
昭島市,130000
時津町,420000
普代村,030000
智頭町,310000
更別村,014030
曽於市,460100
曽爾村,290000
最上町,060000
月形町,016000
有田川町吉備金屋,300000
有田川町清水,300000
有田市,300000
有田町,410000
朝倉市,400000
朝日村,200000
朝日町,060000
朝日町,160000
朝日町,240000
朝来市,280000
朝霞市,110000
木古内町,017000
木城町,450000
木島平村,200000
木更津市,120000
木曽岬町,240000
木曽町,200000
木津川市,260000
木祖村,200000
本別町,014030
本宮市,070000
本山町,390000
本巣市,210000
本庄市,110000
本部町,471000
札幌市,016000
杉並区,130000
杉戸町,110000
村上市,150000
村山市,060000
村田町,040000
東かがわ市,370000
東みよし町,360000
東串良町,460100
東久留米市,130000
東伊豆町,220000
東北町,020000
東吉野村,290000
東吾妻町,100000
東員町,240000
東大和市,130000
東大阪市,270000
東峰村,400000
東川町,012000
東広島市,340000
東庄町,120000
東彼杵町,420000
東御市,200000
東成瀬村,050000
東村,471000
東村山市,130000
東松山市,110000
東松島市,040000
東栄町,230000
東根市,060000
東洋町,390000
東浦町,230000
東海市,230000
東海村,080000
東温市,380000
東白川村,210000
東神楽町,012000
東秩父村,110000
東近江市,250000
東通村,020000
東郷町,230000
東金市,120000
杵築市,440000
松伏町,110000
松前町,017000
松前町,380000
松原市,270000
松山市,380000
松島町,040000
松崎町,220000
松川村,200000
松川町,200000
松戸市,120000
松本市乗鞍上高地,200000
松本市松本,200000
松江市,320000
松浦市,420000
松田町,140000
松茂町,360000
松野町,380000
松阪市東部,240000
松阪市西部,240000
板倉町,100000
板柳町,020000
板橋区,130000
板野町,360000
枕崎市,460100
枚方市,270000
枝幸町,011000
柏原市,270000
柏崎市,150000
柏市,120000
柳井市,350000
柳川市,400000
柳津町,070000
柴田町,040000
栃木市,090000
栄村,200000
栄町,120000
栗原市東部,040000
栗原市西部,040000
栗山町,016000
栗東市,250000
根室市,014100
根羽村,200000
桂川町,400000
桐生市,100000
桑名市,240000
桑折町,070000
桜井市,290000
桜川市,080000
桶川市,110000
棚倉町,070000
森町,017000
森町,220000
椎葉村,450000
楢葉町,070000
榛東村,100000
様似町,015000
標津町,014100
標茶町,014100
横手市,050000
横浜市北部,140000
横浜市南部,140000
横浜町,020000
横瀬町,110000
横芝光町,120000
横須賀市,140000
橋本市,300000
橿原市,290000
檜原村,130000
檜枝岐村,070000
檮原町,390000
歌志内市,016000
武蔵村山市,130000
武蔵野市,130000
武豊町,230000
武雄市,410000
比布町,012000
毛呂山町,110000
気仙沼市,040000
水上村,430000
水俣市,430000
水巻町,400000
水戸市,080000
氷川町,430000
氷見市,160000
永平寺町,180000
江別市,016000
江北町,410000
江南市,230000
江差町,017000
江府町,310000
江戸川区,130000
江東区,130000
江津市,320000
江田島市,340000
池田市,270000
池田町,014030
池田町,180000
池田町,200000
池田町,210000
沖縄市,471000
河内町,080000
河内長野市,270000
河北町,060000
河南町,270000
河合町,290000
河津町,220000
沼津市,220000
沼田市,100000
沼田町,016000
泉佐野市,270000
泉南市,270000
泉大津市,270000
泉崎村,070000
泊村,016000
波佐見町,420000
泰阜村,200000
洋野町,030000
洞爺湖町,015000
津久見市,440000
津別町,013000
津南町,150000
津和野町,320000
津奈木町,430000
津山市,330000
津島市,230000
津市中西部,240000
津市東部,240000
津幡町,170000
津野町,390000
洲本市,280000
流山市,120000
浅口市,330000
浅川町,070000
浜中町,014100
浜松市北部,220000
浜松市南部,220000
浜田市,320000
浜頓別町,011000
浦安市,120000
浦幌町,014030
浦河町,015000
浦添市,471000
浦臼町,016000
浪江町,070000
海南市,300000
海士町,320000
海津市,210000
海田町,340000
海老名市,140000
海陽町,360000
涌谷町,040000
淡路市,280000
深川市,016000
深浦町,020000
深谷市,110000
添田町,400000
清川村,140000
清水町,014030
清水町,220000
清瀬市,130000
清里町,013000
清須市,230000
渋川市,100000
渋谷区,130000
渡名喜村,471000
渡嘉敷村,471000
港区,130000
湖南市,250000
湖西市,220000
湧別町,013000
湧水町,460100
湯前町,430000
湯川村,070000
湯梨浜町,310000
湯沢市,050000
湯沢町,150000
湯河原町,140000
湯浅町,300000
滑川市,160000
滑川町,110000
滝上町,013000
滝川市,016000
滝沢市,030000
潟上市,050000
潮来市,080000
瀬戸内市,330000
瀬戸内町,460040
瀬戸市,230000
焼津市,220000
熊取町,270000
熊本市,430000
熊谷市,110000
熊野市,240000
熊野町,340000
熱海市,220000
燕市,150000
片品村,100000
牛久市,080000
牟岐町,360000
牧之原市,220000
犬山市,230000
狛江市,130000
狭山市,110000
猪名川町,280000
猪苗代町,070000
猿払村,011000
玄海町,410000
玉名市,430000
玉城町,240000
玉川村,070000
玉村町,100000
玉東町,430000
玉野市,330000
王寺町,290000
王滝村,200000
玖珠町,440000
珠洲市,170000
球磨村,430000
琴平町,370000
琴浦町,310000
瑞浪市,210000
瑞穂市,210000
瑞穂町,130000
甘楽町,100000
生坂村,200000
生駒市,290000
産山村,430000
田上町,150000
田原市,230000
田原本町,290000
田子町,020000
田尻町,270000
田川市,400000
田布施町,350000
田村市,070000
田舎館村,020000
田辺市中辺路,300000
田辺市大塔,300000
田辺市本宮,300000
田辺市田辺,300000
田辺市龍神,300000
田野町,390000
田野畑村,030000
由仁町,016000
由利本荘市,050000
由布市,440000
由良町,300000
甲佐町,430000
甲州市,190000
甲府市,190000
甲斐市,190000
甲良町,250000
甲賀市,250000
男鹿市,050000
町田市,130000
留寿都村,016000
留萌市,012000
登別市,015000
登米市,040000
白井市,120000
白子町,120000
白山市,170000
白岡市,110000
白川村,210000
白川町,210000
白河市,070000
白浜町,300000
白石市,040000
白石町,410000
白糠町,014100
白老町,015000
白馬村,200000
白鷹町,060000
皆野町,110000
益城町,430000
益子町,090000
益田市,320000
盛岡市,030000
目黒区,130000
直島町,370000
直方市,400000
相模原市東部,140000
相模原市西部,140000
相生市,280000
相良村,430000
相馬市,070000
真室川町,060000
真岡市,090000
真庭市,330000
真狩村,016000
真鶴町,140000
睦沢町,120000
矢吹町,070000
矢巾町,030000
矢掛町,330000
矢板市,090000
矢祭町,070000
知内町,017000
知名町,460040
知多市,230000
知夫村,320000
知立市,230000
石井町,360000
石垣市,474000
石岡市,080000
石川町,070000
石巻市,040000
石狩市,016000
砂川市,016000
砥部町,380000
砺波市,160000
碧南市,230000
磐梯町,070000
磐田市,220000
礼文町,011000
神埼市,410000
神山町,360000
神崎町,120000
神川町,110000
神恵内村,016000
神戸市中央区,280000
神戸市兵庫区,280000
神戸市北区,280000
神戸市垂水区,280000
神戸市東灘区,280000
神戸市灘区,280000
神戸市西区,280000
神戸市長田区,280000
神戸市須磨区,280000
神戸町,210000
神栖市,080000
神河町,280000
神津島村,130000
神流町,100000
神石高原町,340000
福井市,180000
福山市,340000
福岡市,400000
福島市,070000
福島町,017000
福崎町,280000
福智町,400000
福津市,400000
福生市,130000
福知山市,260000
秋田市,050000
秦野市,140000
秩父別町,016000
秩父市,110000
稚内市,011000
稲城市,130000
稲敷市,080000
稲沢市,230000
稲美町,280000
積丹町,016000
穴水町,170000
立山町,160000
立川市,130000
立科町,200000
竜王町,250000
竹原市,340000
竹富町,474000
竹田市,440000
笛吹市,190000
笠岡市,330000
笠松町,210000
笠置町,260000
笠間市,080000
筑前町,400000
筑北村,200000
筑後市,400000
筑紫野市,400000
筑西市,080000
箕輪町,200000
箕面市,270000
箱根町,140000
築上町,400000
篠栗町,400000
米原市,250000
米子市,310000
米沢市,060000
粕屋町,400000
粟国村,471000
粟島浦村,150000
精華町,260000
糸島市,400000
糸満市,471000
糸田町,400000
糸魚川市,150000
紀の川市,300000
紀北町,240000
紀宝町,240000
紀美野町,300000
紋別市,013000
紫波町,030000
結城市,080000
網走市,013000
綾川町,370000
綾瀬市,140000
綾町,450000
綾部市,260000
総社市,330000
練馬区,130000
置戸町,013000
羅臼町,014100
美作市,330000
美咲町,330000
美唄市,016000
美幌町,013000
美波町,360000
美浜町,180000
美浜町,230000
美浜町,300000
美浦村,080000
美深町,012000
美濃加茂市,210000
美濃市,210000
美瑛町,012000
美祢市,350000
美郷町,050000
美郷町,320000
美郷町,450000
美里町,040000
美里町,110000
美里町,430000
美馬市木屋平,360000
美馬市脇・美馬・穴吹,360000
羽咋市,170000
羽島市,210000
羽幌町,012000
羽幌町天売焼尻,012000
羽後町,050000
羽曳野市,270000
羽村市,130000
羽生市,110000
習志野市,120000
聖籠町,150000
肝付町,460100
胎内市,150000
能代市,050000
能勢町,270000
能登町,170000
能美市,170000
臼杵市,440000
興部町,013000
舞鶴市,260000
舟形町,060000
舟橋村,160000
船橋市,120000
色麻町,040000
芝山町,120000
芦別市,016000
芦北町,430000
芦屋市,280000
芦屋町,400000
花巻市,030000
芳賀町,090000
芸西村,390000
芽室町,014030
苅田町,400000
苓北町,430000
若桜町,310000
若狭町,180000
苫前町,012000
苫小牧市,015000
茂原市,120000
茂木町,090000
茅ヶ崎市,140000
茅野市,200000
茨城町,080000
茨木市,270000
草加市,110000
草津市,250000
草津町,100000
荒尾市,430000
荒川区,130000
菊川市,220000
菊池市,430000
菊陽町,430000
菰野町,240000
萩市,350000
葉山町,140000
葛城市,290000
葛尾村,070000
葛巻町,030000
葛飾区,130000
蒲郡市,230000
蓬田村,020000
蓮田市,110000
